Ship Movement Update,Gear System Update,Lerper Update,ParticleSystem Update,Instructions Draw,Gear System Draw,ParticleSystem Draw,Ship Draw
6.57469e-006,2.05459e-006,2.13678e-005,0.000410096,0,0.00029997,0.00184584,4.31464e-005
6.98561e-006,2.05459e-006,1.93132e-005,0.000405987,0,0.000299148,0.00172134,4.31464e-005
6.98561e-006,2.05459e-006,1.80804e-005,0.000422835,0,0.000302025,0.00178708,4.5201e-005
6.98561e-006,2.05459e-006,1.80804e-005,0.000414617,0,0.000291341,0.00169052,4.23246e-005
6.57469e-006,2.05459e-006,2.0135e-005,0.000415849,0,0.000304901,0.00167983,4.19137e-005
6.98561e-006,2.46551e-006,2.09568e-005,0.000382976,0,0.000292574,0.00163956,4.68447e-005
2.46551e-006,8.21837e-007,9.86204e-006,0.00032216,0,0.000305723,0.00162436,4.31464e-005
1.68476e-005,2.05459e-006,1.84913e-005,0.000373525,0,0.000295861,0.0015393,4.19137e-005
7.39653e-006,2.46551e-006,1.93132e-005,0.000363252,4.10918e-007,0.000281479,0.00143287,4.31464e-005
6.57469e-006,2.46551e-006,2.05459e-005,0.000339008,0,0.000299559,0.00150437,4.68447e-005
7.39653e-006,2.46551e-006,1.93132e-005,0.00036695,0,0.000297916,0.0016371,4.64338e-005
6.57469e-006,2.46551e-006,1.89022e-005,0.000336953,0,0.000296272,0.00143,4.47901e-005
6.57469e-006,2.46551e-006,1.93132e-005,0.000329556,0,0.000297094,0.00139425,4.5201e-005
7.39653e-006,2.46551e-006,1.89022e-005,0.000334487,0,0.000298327,0.00137247,4.27355e-005
1.80804e-005,2.46551e-006,1.93132e-005,0.000345993,0,0.000299148,0.00135685,4.5201e-005
3.28735e-006,1.23275e-006,1.0273e-005,0.000265864,0,0.000302025,0.0013548,4.64338e-005
6.98561e-006,2.46551e-006,1.97241e-005,0.000310654,0,0.000296272,0.00126604,4.43792e-005
6.98561e-006,2.05459e-006,1.93132e-005,0.000302025,0,0.000281068,0.00126563,4.5201e-005
6.57469e-006,2.05459e-006,1.89022e-005,0.000312709,0,0.000279014,0.00127796,4.31464e-005
7.39653e-006,2.05459e-006,1.93132e-005,0.000292163,0,0.000297094,0.00127179,4.47901e-005
2.05459e-006,4.10918e-007,7.39653e-006,0.000248606,0,0.000307367,0.00129275,4.56119e-005
1.64367e-006,4.10918e-007,5.75286e-006,0.000218609,4.10918e-007,0.000280246,0.00121098,4.23246e-005
7.39653e-006,2.46551e-006,2.05459e-005,0.00030408,4.10918e-007,0.000280657,0.00127179,4.56119e-005
6.98561e-006,2.46551e-006,1.97241e-005,0.000308189,0,0.000298327,0.00131781,4.56119e-005
7.39653e-006,2.46551e-006,2.21896e-005,0.000315174,0,0.000281479,0.00126152,4.56119e-005
7.39653e-006,2.05459e-006,1.89022e-005,0.000306134,4.10918e-007,0.000295861,0.00137575,4.93102e-005
3.49281e-005,2.05459e-006,1.97241e-005,0.000285177,0,0.00068459,0.00128864,4.56119e-005
0.000161491,2.05459e-006,2.17787e-005,0.000424068,0,0.000299559,0.00125905,5.25975e-005
6.98561e-006,2.46551e-006,1.97241e-005,0.000296683,0,0.000282301,0.00129973,4.5201e-005
